"sha256","asset_id","relative_path","source_url","duplicate_group_size","relationship"
"EB40577B4B7E33B2FD067AADAD5859E05911CC98050299417963D293A42FC9AF","FB-BRAND-002","01-brand/branded-graphics/72a6e33d656a31b7.jpg","https://www.facebook.com/photo/?fbid=122100622113229345&set=a.122100622137229345","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"EB40577B4B7E33B2FD067AADAD5859E05911CC98050299417963D293A42FC9AF","FB-RAW-10111142465521937","11-raw-facebook-photos/unclassified/FB-RAW-621188686_10111142465521937_8375564866498622980_n.jpg","https://www.facebook.com/photo/?fbid=10111142465521937","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"14801025D06700BE4F491C4BC5E1C0023ECB9E5CE39DF59AC09809B6864C4B30","FB-COM-001","05-commercial-work/repairs/de10edce873eadda.jpg","https://www.facebook.com/photo.php?fbid=122130517191229345&set=pb.61586880370088.-2207520000&type=3","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"14801025D06700BE4F491C4BC5E1C0023ECB9E5CE39DF59AC09809B6864C4B30","FB-RAW-122130517491229345","11-raw-facebook-photos/unclassified/FB-RAW-769324469_122130517491229345_590538701364071475_n.jpg","https://www.facebook.com/photo/?fbid=122130517491229345","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"1E5D1056B851CF38718CF21D8FB693AD361D4145A1EE3DC9D2DD8DED69427849","FB-COM-002","05-commercial-work/repairs/837a8ddcef761c7b.jpg","https://www.facebook.com/photo.php?fbid=122130517155229345&set=pb.61586880370088.-2207520000&type=3","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"1E5D1056B851CF38718CF21D8FB693AD361D4145A1EE3DC9D2DD8DED69427849","FB-RAW-122130517479229345","11-raw-facebook-photos/unclassified/FB-RAW-769458551_122130517479229345_4586623411774796565_n.jpg","https://www.facebook.com/photo/?fbid=122130517479229345","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"15227F8161F9D50FA494C87A7CC7DB78CC3E594DAA7208A7CD07B3D390D47CBB","FB-SOC-002","09-social-graphics/b577da7fd944285b.jpg","https://www.facebook.com/photo.php?fbid=122129574819229345&set=pb.61586880370088.-2207520000&type=3","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"15227F8161F9D50FA494C87A7CC7DB78CC3E594DAA7208A7CD07B3D390D47CBB","FB-RAW-122129574825229345","11-raw-facebook-photos/unclassified/FB-RAW-758904849_122129574825229345_6473252499861685657_n.jpg","https://www.facebook.com/photo/?fbid=122129574825229345","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"3C3CB25D7D8B9B6C00E3ED0EF704005047BD6E9A4B0AA8B9B5DCB18478C3BF58","FB-RES-MNT-003","04-residential-work/maintenance/d060c10c4ecd5ec9.jpg","https://www.facebook.com/photo.php?fbid=122129316777229345&set=pb.61586880370088.-2207520000&type=3","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
"3C3CB25D7D8B9B6C00E3ED0EF704005047BD6E9A4B0AA8B9B5DCB18478C3BF58","FB-RAW-122129316783229345","11-raw-facebook-photos/unclassified/FB-RAW-759746125_122129316783229345_7957194425810640331_n.jpg","https://www.facebook.com/photo/?fbid=122129316783229345","2","Exact SHA-256 duplicate retained during completeness-first raw preservation; choose a primary only during later curation."
